id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk,satuan,tahun
280,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1301.57,RIBU ORANG,2020
281,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1149.47,RIBU ORANG,2020
282,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1829.23,RIBU ORANG,2020
283,32,JAWA BARAT,3213,KABUPATEN SUBANG,1605.25,RIBU ORANG,2020
284,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,994.33,RIBU ORANG,2020
285,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2434.09,RIBU ORANG,2020
286,32,JAWA BARAT,3216,KABUPATEN BEKASI,3101.73,RIBU ORANG,2020
287,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1782.19,RIBU ORANG,2020
288,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,422.41,RIBU ORANG,2020
289,32,JAWA BARAT,3271,KOTA BOGOR,1040.57,RIBU ORANG,2020
290,32,JAWA BARAT,3272,KOTA SUKABUMI,344.83,RIBU ORANG,2020
291,32,JAWA BARAT,3273,KOTA BANDUNG,2438.35,RIBU ORANG,2020
292,32,JAWA BARAT,3274,KOTA CIREBON,332.58,RIBU ORANG,2020
293,32,JAWA BARAT,3275,KOTA BEKASI,2536.12,RIBU ORANG,2020
294,32,JAWA BARAT,3276,KOTA DEPOK,2046.83,RIBU ORANG,2020
295,32,JAWA BARAT,3277,KOTA CIMAHI,566.17,RIBU ORANG,2020
296,32,JAWA BARAT,3278,KOTA TASIKMALAYA,713.67,RIBU ORANG,2020
297,32,JAWA BARAT,3279,KOTA BANJAR,200.27,RIBU ORANG,2020
298,32,JAWA BARAT,3201,KABUPATEN BOGOR,5484.15,RIBU ORANG,2021
